toimipaikka_oid,nimi,nimi_sv,varhaiskasvatuspaikat,jarjestamismuoto_koodi,kasvatusopillinen_jarjestelma_koodi,toimipaikka_kayntiosoite,toimipaikka_kayntiosoite_postinumero,toimipaikka_kayntiosoite_postitoimipaikka,toimintamuoto_koodi,varda_toiminnallinenpainotus.toimintapainotus_kytkin,tp01_musiikki,tp02_liikunta,tp03_kuvataide,tp04_tiede,tp05_draama,tp06_ymparisto_ja_luonto,tp07_seikkailu,tp08_media,tp09_maailmankatsomuksellinen,tp99_muu,kielipainotus_kytkin,kielipainotus_fi,kielipainotus_sv,kielipainotus_en,kielipainotus_muu,alkamis_pvm,paattymis_pvm,jarjestaja_oid,jarjestaja_nimi,jarjestaja_y_tunnus,jarjestaja_yritysmuoto,jarjestaja_ytjkieli,jarjestaja_kayntiosoite,jarjestaja_kayntiosoite_postinumero,jarjestaja_kayntiosoite_postitoimipaikka,jarjestaja_alkamis_pvm,jarjestaja_paattymis_pvm
1.2.246.562.10.84554784599,ESIOPETUS LITTOINEN,ESIOPETUS LITTOINEN,21,['jm01'],kj98,SIPPAANTIE 56,20660,LITTOINEN,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2010-08-02,,1.2.246.562.10.65272201065,Liperin kunta,0169583-6,KUNTA,,Varolantie 3,83100,LIPERI,1978-03-15,
1.2.246.562.10.84571269574,Soutajanpuiston Päiväkoti,Soutajanpuiston Päiväkoti,107,['jm01'],kj98,Soutajantie 1,80160,Joensuu,tm01,False,0,0,0,0,0,0,0,0,0,1,False,1,0,0,,2012-08-01,,1.2.246.562.10.56897525871,Kurikan kaupunki,0209046-8,KUNTA,,Kärrytie 1,61300,KURIKKA,1978-06-30,
1.2.246.562.10.84581694324,UMMELJOEN PÄIVÄKOTI,UMMELJOEN PÄIVÄKOTI,21,['jm01'],kj98,SIMONSUURENTIE 4,46810,UMMELJOKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,1974-01-01,,1.2.246.562.10.85996043247,Ilomantsin kunta,0167589-4,KUNTA,,Soihtulantie 7,82900,ILOMANTSI,1978-03-15,
1.2.246.562.10.84598147548,Pikiruukin päiväkoti Pikiruukintie 4,Pikiruukin päiväkoti Pikiruukintie 4,42,['jm01'],kj98,Pikiruukintie 4,67200,KOKKOLA,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2018-08-01,,1.2.246.562.10.10063814452,Iin kunta,2054621-1,KUNTA,,Jokisuuntie 2,91100,II,2006-08-24,
1.2.246.562.10.84628698353,PK Valkea,PK Valkea,126,['jm01'],kj98,Tuohimäentie 107,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,1977-01-01,,1.2.246.562.10.61276451822,Loviisan kaupunki,0203263-9,KUNTA,,Karlskronabulevarden 8,07900,LOVIISA,1978-06-30,
1.2.246.562.10.84709192920,Vaunukankaan päiväkoti,Vaunukankaan päiväkoti,144,['jm01'],kj98,Vaunukankaantie 3-5,04300,Tuusula,tm01,False,0,0,0,0,1,0,0,0,0,0,False,1,0,0,,1989-01-01,,1.2.246.562.10.31717716703,Haminan kaupunki,0242496-6,KUNTA,,Fredrikinkatu 4,49400,HAMINA,1978-12-17,
1.2.246.562.10.84718510732,Peltokorven päiväkoti,Peltokorven päiväkoti,48,['jm01'],kj98,Peltokorventie 371,68300,KÄLVIÄ,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,0,0,,2009-08-01,,1.2.246.562.10.37266906215,Paltamon kunta,0188808-0,KUNTA,,Vaarankyläntie 7,88300,PALTAMO,1978-03-15,
1.2.246.562.10.84758840387,ULPUN PÄIVÄKOTI,ULPUN PÄIVÄKOTI,33,['jm01'],kj98,KALLIOTIE 3,32740,SASTAMALA,tm01,False,0,0,1,0,0,0,0,0,0,0,False,1,0,0,,2009-01-01,,1.2.246.562.10.89190050412,Ristijärven kunta,0189576-6,KUNTA,,Aholantie 28,88400,RISTIJÄRVI,1978-03-15,
1.2.246.562.10.84848131540,Kållby förskola/daghem,Kållby förskola/daghem,48,['jm01'],kj98,Katternövägen 43,68800,KÅLLBY,tm01,False,0,0,0,0,0,0,0,0,0,1,False,1,0,0,,2011-10-01,,1.2.246.562.10.55414194963,Kosken Tl kunta,0213007-9,KUNTA,,Härkätie 5,31500,KOSKI TL,1978-05-29,
1.2.246.562.10.84880034099,Päiväkoti Mäntylä,Päiväkoti Mäntylä,66,['jm01'],kj98,Lankilantie 48,85100,Kalajoki,tm01,False,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,1990-01-01,,1.2.246.562.10.90602482102,Limingan kunta,0186553-2,KUNTA,,Iivarinpolku 6,91900,LIMINKA,1978-03-15,
1.2.246.562.10.84919812515,PK Savotta,PK Savotta,105,['jm01'],kj98,Puunkaatajantie 16,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,1,0,0,0,0,0,0,0,False,1,0,0,so,2002-08-01,,1.2.246.562.10.77047788581,Kangasalan Kaupunki,1923299-5,KUNTA,,Kunnantie 1,36200,KANGASALA,2004-10-06,
1.2.246.562.10.84958363677,Päiväkoti Puolukka,Päiväkoti Puolukka,60,['jm01'],kj98,Marttilantie 19,85100,Kalajoki,tm01,True,0,0,0,0,0,0,1,0,1,0,True,1,0,0,,1976-08-01,,1.2.246.562.10.71948887212,Kemin kaupunki,0210427-6,KUNTA,,Valtakatu 26,94100,KEMI,1978-06-30,
1.2.246.562.10.84976090641,Kurrekummun Päiväkoti,Kurrekummun Päiväkoti,48,['jm01'],kj98,Parkkitie 2,72210,Tervo,tm01,True,0,0,0,0,0,0,0,0,0,0,True,1,0,0,,2017-10-01,,1.2.246.562.10.14921103447,Lemin kunta,0162576-6,KUNTA,,Toukkalantie 2,54710,LEMI,1978-03-15,
1.2.246.562.10.85013388989,PK Linnunlaulu,PK Linnunlaulu,231,['jm01'],kj98,Eläintarhantie 18 A,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,1995-01-01,,1.2.246.562.10.93032730884,Hyvinkään kaupunki,0125866-0,KUNTA,,Kankurinkatu 4-6,05800,HYVINKÄÄ,1978-03-15,
1.2.246.562.10.85128988723,Kissakuusen päiväkoti,Kissakuusen päiväkoti,44,['jm01'],kj98,Kissakuusentie 20,72100,KARTTULA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2018-07-30,,1.2.246.562.10.50945318033,Vaasan kaupunki,0209602-6,KUNTA,,Vaasanpuistikko 10,65100,VAASA,1978-06-30,
1.2.246.562.10.85148176911,Kolsarin päiväkoti,Kolsarin päiväkoti,73,['jm01'],kj98,Bronkuja 1,02400,KIRKKONUMMI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2000-01-01,,1.2.246.562.10.61320174057,Ylivieskan kaupunki,0190557-3,KUNTA,,Valtakatu 4,84100,YLIVIESKA,1978-03-15,
1.2.246.562.10.85165880361,Talvitien päiväkoti,Talvitien päiväkoti,105,['jm01'],kj98,Talvitie 24,33900,TAMPERE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2017-05-01,,1.2.246.562.10.598076637910,Savitaipaleen kunta,0163109-0,KUNTA,,Kirkkotie 6,54800,SAVITAIPALE,1978-03-15,
1.2.246.562.10.85202313715,HULTA DAGHEM HULTA PÄIVÄKOTI,HULTA DAGHEM HULTA PÄIVÄKOTI,50,['jm01'],kj98,HERTSBÖLEVÄGEN 3,25900,TAALINTEHDAS,tm01,False,0,0,0,0,0,0,0,1,0,0,False,0,0,0,,1989-05-01,,1.2.246.562.10.37521062804,Kaustisen kunta,0178981-6,KUNTA,,Kappelintie 13,69600,KAUSTINEN,1978-03-15,
1.2.246.562.10.85209290775,Määttälän esiopetus,Määttälän esiopetus,4,['jm01'],kj98,Määttälänvaarantie 7,93800,MÄÄTTÄLÄNVAARA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2011-08-11,,1.2.246.562.10.25511125012,Pudasjärven kaupunki,0188962-2,KUNTA,,Varsitie 7,93100,PUDASJÄRVI,1978-03-15,
1.2.246.562.10.85259918689,Maarukan päiväkoti,Maarukan päiväkoti,75,['jm01'],kj98,Neptunuksentie 3,01480,Vantaa,tm01,False,0,0,0,0,1,0,0,1,0,0,False,1,1,0,,2003-08-01,,1.2.246.562.10.81321154148,Vesilahden kunta,0157711-9,KUNTA,,Lindinkuja 1,37470,VESILAHTI,1978-03-15,
1.2.246.562.10.85338464853,HAANOJAN PÄIVÄKOTI,HAANOJAN PÄIVÄKOTI,183,['jm01'],kj98,TASANKOTIE 6,45150,KOUVOLA,tm01,False,0,1,0,0,0,0,0,0,0,0,False,1,0,0,,1989-01-01,,1.2.246.562.10.61375893973,Vieremän kunta,0173835-7,KUNTA,,Myllyjärventie 1,74200,VIEREMÄ,1978-03-15,
1.2.246.562.10.85405493843,SAHURIN PÄIVÄKOTI,SAHURIN PÄIVÄKOTI,80,['jm01'],kj98,SAHURINTIE 2,37830,AKAA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,2009-08-01,,1.2.246.562.10.722837895010,Ylöjärven kaupunki,0158221-7,KUNTA,,Kuruntie 14,33470,YLÖJÄRVI,1978-03-15,
1.2.246.562.10.85413978058,Puukoulu,Puukoulu,63,['jm01'],kj98,Kuuskoskentie 8,21380,AURA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,1,,2005-08-15,,1.2.246.562.10.64495287985,Hämeenkyrön kunta,0132947-3,KUNTA,,Härkikuja 7,39100,HÄMEENKYRÖ,1978-03-15,
1.2.246.562.10.85415572511,Suotorpan päiväkoti,Suotorpan päiväkoti,30,['jm01'],kj98,Sammalkuja 1,23360,Kustavi,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,1987-02-01,,1.2.246.562.10.29177766721,Lapinjärven kunta,0203135-3,KUNTA,,Lapinjärventie 20 A,07800,LAPINJÄRVI,1978-06-30,
1.2.246.562.10.85460580815,DAGHEMMET LABAN,DAGHEMMET LABAN,46,['jm01'],kj98,OJANIITUNKATU 3,08150,LOHJA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1999-01-01,,1.2.246.562.10.33304449151,Hankasalmen kunta,0174035-0,KUNTA,,Keskustie 41,41520,HANKASALMI,1978-03-15,
1.2.246.562.10.85461574650,Kaarenhovin päiväkoti,Kaarenhovin päiväkoti,80,['jm01'],kj98,Länsikatu 2,70820,KUOPIO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-01-01,,1.2.246.562.10.74499914872,Oriveden kaupunki,0151789-6,KUNTA,,KESKUSTIE 23,35300,ORIVESI,1978-03-15,
1.2.246.562.10.85472435453,Kilterin päiväkoti,Kilterin päiväkoti,203,['jm01'],kj98,Iskostie 8 g,01600,Vantaa,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2013-12-09,,1.2.246.562.10.28324836593,Vaalan kunta,0190027-0,KUNTA,,VAALANTIE 14,91700,VAALA,1978-03-15,
1.2.246.562.10.85501065636,Hirsimäen Päiväkoti,Hirsimäen Päiväkoti,89,['jm01'],kj98,Hirsimäenkatu 29,13500,Hämeenlinna,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2018-08-01,,1.2.246.562.10.76839260437,Pöytyän kunta,1929519-5,KUNTA,,Kehityksentie 6,21800,KYRÖ,2004-11-11,
1.2.246.562.10.85512364788,Aitohelmen päiväkoti Klaukkalantie 70,Aitohelmen päiväkoti Klaukkalantie 70,20,['jm01'],kj98,Klaukkalantie 70,01800,KLAUKKALA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2010-08-11,,1.2.246.562.10.40384720658,Alajärven kaupunki,0177619-3,KUNTA,,Alvar Aallon tie 1,62900,ALAJÄRVI,1978-03-15,
1.2.246.562.10.85518192852,Päiväkoti Kirkonkylä,Päiväkoti Kirkonkylä,128,['jm01'],kj98,Jokiniementie 11,41340,LAUKAA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2015-01-01,,1.2.246.562.10.72963804215,Miehikkälän kunta,0162675-0,KUNTA,,Keskustie 4 A,49700,MIEHIKKÄLÄ,1978-03-15,
1.2.246.562.10.85539484684,Iisveden päiväkoti,Iisveden päiväkoti,40,['jm01'],kj98,Tapiolantie 2,77800,Iisvesi,tm01,False,0,0,0,0,0,0,1,0,0,1,False,1,0,0,,2009-01-01,,1.2.246.562.10.33536687966,Vesannon kunta,0173787-2,KUNTA,,Keskustie 5,72300,VESANTO,1978-03-15,
1.2.246.562.10.85618319876,TIILIKANGAS,TIILIKANGAS,136,['jm01'],kj98,TIILIKANKAANTIE 1,88600,SOTKAMO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1989-08-01,,1.2.246.562.10.28655667336,Malax kommun,0180948-5,KUNTA,,Malmgatan 5,00000,Ei tiedossa,1978-03-15,
1.2.246.562.10.85619405120,Kettukallion Päiväkoti,Kettukallion Päiväkoti,60,['jm01'],kj98,Kettukalliontie 2 A,12400,Tervakoski,tm01,False,0,1,0,0,0,0,0,0,1,1,False,1,0,0,,2018-04-01,2028-07-31,1.2.246.562.10.94205660312,Pedersöre kommun,0198517-1,KUNTA,,Skrufvilankatu 2,68911,PÄNNÄINEN,1978-06-16,
1.2.246.562.10.85742186126,PK Aulanko,PK Aulanko,60,['jm01'],kj98,Aulangontie 4,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1972-09-30,,1.2.246.562.10.33969312488,Porin kaupunki,0137323-9,KUNTA,,Antinkatu 2,28100,PORI,1978-03-15,
1.2.246.562.10.85748952471,Tuulikanteleen Päiväkoti,Tuulikanteleen Päiväkoti,87,['jm01'],kj98,Kyllikinkatu 15,80260,Joensuu,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,es,1983-08-01,,1.2.246.562.10.78354624187,Padasjoen kunta,0151924-2,KUNTA,,Kellosalmentie 20,17500,PADASJOKI,1978-03-15,
1.2.246.562.10.85769178790,Lauttalan päiväkoti/Haavistontien yksikkö,Lauttalan päiväkoti/Haavistontien yksikkö,77,['jm01'],kj98,Haavistontie 3,37140,NOKIA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,2004-03-09,,1.2.246.562.10.30765733321,Toivakan kunta,0177201-0,KUNTA,,Toivakantie 49,41660,TOIVAKKA,1978-03-15,
1.2.246.562.10.85772998887,Keskustan päiväkoti,Keskustan päiväkoti,182,['jm01'],kj98,Väinämöisentie 2,04200,KERAVA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,1970-01-01,,1.2.246.562.10.95467913869,Kärkölän kunta,0148268-9,KUNTA,,Virkatie 1,16600,JÄRVELÄ,1978-03-15,
1.2.246.562.10.85831636338,Äkkiväärän Päiväkoti,Äkkiväärän Päiväkoti,33,['jm01'],kj98,Äkkiväärä 9,80140,Joensuu,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,,1987-08-01,,1.2.246.562.10.63182395085,Virolahden kunta,0207033-6,KUNTA,,Opintie 4,49901,VIROLAHTI,1978-06-30,
1.2.246.562.10.85843987075,Maikkulan päiväkoti,Maikkulan päiväkoti,89,['jm01'],kj98,Jättikivenkatu 5,90240,OULU,tm01,False,0,1,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.73481747332,Soinin kunta,0182637-3,KUNTA,,MULTIANTIE 27 A,63800,SOINI,1978-03-15,
1.2.246.562.10.85963414942,Böle daghem,Böle daghem,72,['jm01'],kj98,Hemskogsgränd 3,65610,KORSHOLM,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2009-08-01,,1.2.246.562.10.52111966223,Ikaalisten kaupunki,0203797-4,KUNTA,,VALTAKATU 5,39500,IKAALINEN,1978-06-30,
1.2.246.562.10.86006300585,Jalkarannan päiväkoti,Jalkarannan päiväkoti,170,['jm01'],kj98,Sarvikuja 1,15950,LAHTI,tm01,False,0,0,0,0,0,0,0,0,1,0,False,1,0,0,,2012-04-01,,1.2.246.562.10.60597986037,Luhangan kunta,0176592-9,KUNTA,,HAKULINTIE 2,19950,LUHANKA,1978-03-15,
1.2.246.562.10.86071455025,PK Porslahti,PK Porslahti,84,['jm01'],kj98,Marielundinaukio 4,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1995-01-01,,1.2.246.562.10.28896655868,Lestijärven kunta,0180774-6,KUNTA,,Lestintie 39,69440,LESTIJÄRVI,1978-03-15,
1.2.246.562.10.86078697785,Ullanlinnan Päiväkoti Maneesintie 5 G,Ullanlinnan Päiväkoti Maneesintie 5 G,16,['jm01'],kj98,Maneesintie 5 G,62600,LAPPAJÄRVI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2017-09-01,,1.2.246.562.10.37294919826,Hämeenlinnan kaupunki,0146921-4,KUNTA,,Raatihuoneenkatu 9,13100,HÄMEENLINNA,1978-03-15,
1.2.246.562.10.86087651252,Olkahisen päiväkoti,Olkahisen päiväkoti,63,['jm01'],kj98,Jenseninkatu 3,33610,TAMPERE,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2003-01-01,,1.2.246.562.10.50618575976,Ruoveden kunta,0152842-1,KUNTA,,Ruovedentie 32,34600,RUOVESI,1978-03-15,
1.2.246.562.10.86119071727,Husulan esiopetus,Husulan esiopetus,19,['jm01'],kj98,Kokkokallionkatu 4 as 24,49400,HAMINA,tm01,False,0,0,0,0,0,1,0,1,0,0,False,1,0,1,,2002-08-11,,1.2.246.562.10.62818926438,Imatran kaupunki,0159216-7,KUNTA,,Virastokatu 2,55100,IMATRA,1978-03-15,
1.2.246.562.10.86135504743,HAKOLAN PÄIVÄKOTI,HAKOLAN PÄIVÄKOTI,36,['jm01'],kj98,Sairaalantie 61 A,62370,KANGASTO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2000-01-01,,1.2.246.562.10.67094744702,Porvoon kaupunki,1061512-1,KUNTA,,Taidetehtaankatu 1,06100,BORGÅ,1996-09-24,
1.2.246.562.10.86155389850,Kenttäkadun päiväkoti,Kenttäkadun päiväkoti,163,['jm01'],kj98,Kenttäkatu 11,05800,HYVINKÄÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2017-02-26,,1.2.246.562.10.45754497167,Laitilan kaupunki,0134480-9,KUNTA,,Keskuskatu 30,23800,LAITILA,1978-03-15,
1.2.246.562.10.86167276640,Melalahden päiväkoti,Melalahden päiväkoti,122,['jm01'],kj98,Koulutie 6,71160,RIISTAVESI,tm01,False,0,0,0,0,0,1,0,0,0,0,False,1,0,0,,2003-07-31,,1.2.246.562.10.97036773279,Korsnäs kommun,0179699-5,KUNTA,,STRANDVÄGEN 4323,66200,KORSNÄS,1978-03-15,
1.2.246.562.10.86187576003,Peltopuiston päiväkoti,Peltopuiston päiväkoti,61,['jm01'],kj98,Lisäkuja 1,85500,NIVALA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2007-08-01,,1.2.246.562.10.63862156526,Jämsän kaupunki,0175622-1,KUNTA,,Seppolantie 10,42100,JÄMSÄ,1978-03-15,
1.2.246.562.10.86215126672,Lahjaharjun päiväkoti,Lahjaharjun päiväkoti,128,['jm01'],kj98,Tyyppäläntie 20,40250,JYVÄSKYLÄ,tm01,False,0,0,0,0,0,0,0,0,0,0,False,0,1,0,,1983-01-01,,1.2.246.562.10.99616449197,Vörå kommun,2050514-5,KUNTA,,Vöråvägen 18,66600,VÖYRI,2006-08-01,
1.2.246.562.10.86259032828,KARUSELLEN,KARUSELLEN,0,['jm01'],kj98,PRÄSTGÅRDSGATAN 7,10300,KARJAA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2019-07-29,,1.2.246.562.10.21531172977,Mikkelin kaupunki,0165116-3,KUNTA,,Maaherrankatu 9-11,50101,MIKKELI,1978-03-15,
1.2.246.562.10.86265635960,AAMU- JA ILTAPÄIVÄTOIMINTA LAUNONEN,AAMU- JA ILTAPÄIVÄTOIMINTA LAUNONEN,15,['jm01'],kj98,KARTANONTIE 8,12540,LAUNONEN,tm01,False,0,0,0,0,0,0,1,0,0,0,False,1,0,0,,2019-08-08,,1.2.246.562.10.96098984634,Pukkilan kunta,0130729-0,KUNTA,,Hallitustie 2,07560,PUKKILA,1978-03-15,
1.2.246.562.10.86282211019,Päiväkoti Harjunpää,Päiväkoti Harjunpää,24,['jm01'],kj98,Katinhännäntie 17,28260,HARJUNPÄÄ,tm01,False,0,0,0,1,0,0,0,0,0,0,False,1,0,0,,2010-01-01,,1.2.246.562.10.46853766502,Taivassalon kunta,0139991-4,KUNTA,,Keskustie 9,23310,TAIVASSALO,1978-03-15,
1.2.246.562.10.86294010003,Pähkinänsärkijän päiväkoti,Pähkinänsärkijän päiväkoti,111,['jm01'],kj98,Pähkinätie 2,01710,Vantaa,tm01,False,0,0,0,0,0,0,0,1,0,0,False,1,0,0,,1991-08-01,,1.2.246.562.10.53296533424,Isonkyrön kunta,0178131-2,KUNTA,,Pohjankyröntie 136,00000,,1978-03-15,
1.2.246.562.10.86337736333,Maaseläntien vuorokoti,Maaseläntien vuorokoti,63,['jm01'],kj98,Maaseläntie 32,93600,KUUSAMO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2012-08-06,,1.2.246.562.10.25837481214,Kustavin kunta,0134349-4,KUNTA,,Keskustie 7,23360,KUSTAVI,1978-03-15,
1.2.246.562.10.86442305248,Karjalahden päiväkoti,Karjalahden päiväkoti,58,['jm01'],kj98,Mekaanikonkatu 2,94600,KEMI,tm01,False,0,1,0,0,0,0,0,0,0,0,False,1,0,0,,2019-01-01,,1.2.246.562.10.38289846321,Tervon kunta,0173081-4,KUNTA,,Tervontie 4,72210,TERVO,1978-03-15,
1.2.246.562.10.86466992517,ROVASTINKANKAAN ESIOPETUSRYHMÄ,ROVASTINKANKAAN ESIOPETUSRYHMÄ,34,['jm01'],kj99,AMMATTIKOULUNKATU 3,35100,ORIVESI AS,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2019-08-01,,1.2.246.562.10.97046002305,Rautalammin kunta,0172586-3,KUNTA,,Kuopiontie 11,77700,RAUTALAMPI,1978-03-15,
1.2.246.562.10.86471467729,Asemanseudun päivähoitoyksikkö,Asemanseudun päivähoitoyksikkö,140,['jm01'],kj98,Käsityöläiskatu 20,20100,TURKU,tm01,True,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-01,,1.2.246.562.10.81302392022,Hirvensalmen kunta,0164384-1,KUNTA,,Keskustie 2,52550,HIRVENSALMI,1978-03-15,
1.2.246.562.10.86472956282,Aitohelmen päiväkoti Valkjärventie 460,Aitohelmen päiväkoti Valkjärventie 460,9,['jm01'],kj98,Valkjärventie 460,01860,KLAUKKALA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,de,2019-08-01,,1.2.246.562.10.83118127493,Kuhmoisten kunta,0176357-9,KUNTA,,Toritie 34 A,17800,KUHMOINEN,1978-03-15,
1.2.246.562.10.86540812731,Prästgårdsbackens daghem,Prästgårdsbackens daghem,105,['jm01'],kj98,Rådalsvägen 6,02400,KIRKKONUMMI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2000-01-01,,1.2.246.562.10.802378234410,Sodankylän kunta,0193169-1,KUNTA,,Jäämerentie 1,99600,SODANKYLÄ,1978-03-15,
1.2.246.562.10.86550978018,KELLOMÄEN PÄIVÄKOTI,KELLOMÄEN PÄIVÄKOTI,84,['jm01'],kj98,VEHKATIE 2,94450,KEMINMAA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2013-01-01,,1.2.246.562.10.16264501384,Kannonkosken kunta,0175798-8,KUNTA,,JÄRVITIE 1,43300,KANNONKOSKI,1978-03-15,
1.2.246.562.10.86580655024,KONTIONTIEN PÄIVÄKOTI,KONTIONTIEN PÄIVÄKOTI,101,['jm01'],kj98,KONTIONTIE  34 A,11120,RIIHIMÄKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2007-01-01,,1.2.246.562.10.414627898710,Pelkosenniemen kunta,0191866-5,KUNTA,,Sodankyläntie 1 A,98500,PELKOSENNIEMI,1978-03-15,
1.2.246.562.10.86592588544,HAUKKAMÄEN PÄIVÄKOTI,HAUKKAMÄEN PÄIVÄKOTI,33,['jm01'],kj98,VANHA TURUNTIE 28,03600,KARKKILA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2012-01-01,,1.2.246.562.10.40889771776,Pomarkun kunta,0136610-0,KUNTA,,Vanhatie 14,29630,POMARKKU,1978-03-15,
1.2.246.562.10.86624396726,METSÄTÄHDEN PÄIVÄKOTI,METSÄTÄHDEN PÄIVÄKOTI,33,['jm01'],kj98,AURATIE 3,92140,PATTIJOKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2010-08-01,,1.2.246.562.10.47010230846,Muuramen kunta,0176699-9,KUNTA,,Virastotie 8,40950,MUURAME,1978-03-15,
1.2.246.562.10.86715585930,Kämmenniemen päiväkoti,Kämmenniemen päiväkoti,84,['jm01'],kj98,Paavolantie 2,34240,KÄMMENNIEMI,tm01,False,1,0,0,0,1,0,1,0,0,0,False,1,0,0,,2003-01-01,,1.2.246.562.10.895016448210,Pyhännän kunta,0189226-6,KUNTA,,Manuntie 2,92930,PYHÄNTÄ,1978-03-15,
1.2.246.562.10.86720953883,PK Laivakello,PK Laivakello,70,['jm01'],kj98,Suolakivenkatu 14,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2004-01-05,,1.2.246.562.10.43281989293,Pielaveden kunta,0172446-5,KUNTA,,Puistotie 30,72401,PIELAVESI,1978-03-15,
1.2.246.562.10.86768533928,Tursolan päiväkoti,Tursolan päiväkoti,149,['jm01'],kj98,Vainiometsäntie 1,36200,KANGASALA,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,2006-01-01,,1.2.246.562.10.66173287591,Pornaisten kunta,0130095-3,KUNTA,,Kirkkotie 176,07170,PORNAINEN,1978-03-15,
1.2.246.562.10.86780613120,Pasalanpuiston päiväkoti,Pasalanpuiston päiväkoti,75,['jm01'],kj98,Pasantie 26,21280,RAISIO,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,,2018-09-28,,1.2.246.562.10.81449413046,Vetelin kunta,0184278-7,KUNTA,,Kivihyypäntie 1,69700,VETELI,1978-03-15,
1.2.246.562.10.86781525489,TENAVATIEN PÄIVÄKOTI,TENAVATIEN PÄIVÄKOTI,60,['jm01'],kj98,TENAVATIE 3 B,61600,JALASJÄRVI,tm01,False,0,0,0,1,0,0,0,0,0,0,False,1,0,0,,1982-03-01,,1.2.246.562.10.28690502241,Petäjäveden kunta,0176769-2,KUNTA,,Suutarintie 4,41900,PETÄJÄVESI,1978-03-15,
1.2.246.562.10.86788133865,PK Vartiokylä,PK Vartiokylä,77,['jm01'],kj98,Sauramatie 3,00099,HELSINGIN KAUPUNKI,tm01,False,0,0,0,0,0,0,0,0,0,0,False,1,0,0,,1959-01-01,,1.2.246.562.10.79559056522,Karvian kunta,0133735-0,KUNTA,,Kylä-Karviantie 17,39930,KARVIA,1978-03-15,
